Features, Accuracy
[ 1  2  3  4  5  6  7  9 10 11],100.0
[ 1  2  3  4  5  6  7  8 10 11],100.0
[ 1  2  3  4  5  6  7  8  9 11],100.0
[ 1  2  3  4  5  6  7  8  9 10],100.0
[ 2  3  4  5  6  7  8  9 10],100.0
[ 1  3  4  5  6  7  8  9 10],100.0
[ 1  2  4  5  6  7  8  9 10],100.0
[ 1  2  3  5  6  7  8  9 10],100.0
[ 1  2  3  4  6  7  8  9 10],100.0
[ 1  2  3  4  5  7  8  9 10],100.0
[ 1  2  3  4  5  6  8  9 10],100.0
[ 1  2  3  4  5  6  7  9 10],100.0
[ 1  2  3  4  5  6  7  8 10],100.0
[1 2 3 4 5 6 7 8 9],100.0
[2 3 4 5 6 7 8 9],100.0
[1 3 4 5 6 7 8 9],100.0
[1 2 4 5 6 7 8 9],100.0
[1 2 3 5 6 7 8 9],100.0
[1 2 3 4 6 7 8 9],100.0
[1 2 3 4 5 7 8 9],100.0
[1 2 3 4 5 6 8 9],100.0
[1 2 3 4 5 6 7 9],100.0
[1 2 3 4 5 6 7 8],100.0
[2 3 4 5 6 7 8],100.0
[1 3 4 5 6 7 8],100.0
[1 2 4 5 6 7 8],100.0
[1 2 3 5 6 7 8],100.0
[1 2 3 4 6 7 8],100.0
[1 2 3 4 5 7 8],100.0
[1 2 3 4 5 6 8],100.0
[1 2 3 4 5 6 7],100.0
[2 3 4 5 6 7],100.0
[1 3 4 5 6 7],100.0
[1 2 4 5 6 7],100.0
[1 2 3 5 6 7],100.0
[1 2 3 4 6 7],100.0
[1 2 3 4 5 7],100.0
[1 2 3 4 5 6],100.0
[2 3 4 5 6],100.0
[1 3 4 5 6],100.0
[1 2 4 5 6],100.0
[1 2 3 5 6],100.0
[1 2 3 4 6],100.0
[1 2 3 4 5],100.0
[2 3 4 5],100.0
[1 3 4 5],100.0
[1 2 4 5],78.4
[1 2 3 5],100.0
[1 2 3 4],100.0
[2 3 4],100.0
[1 3 4],100.0
[1 2 4],73.9
[1 2 3],100.0
[2 3],100.0
[1 3],100.0
[1 2],65.9
[3],100.0
[1],54.5
[],50.0
