Features, Accuracy
[ 1 10 12 14 16 18 20 21 22 29 33 39 41 44 45 46],70.1
[ 1 10 13 14 16 18 20 21 22 29 33 39 41 44 45 46],73.2
[ 1 10 14 15 16 18 20 21 22 29 33 39 41 44 45 46],73.1
[ 1 10 14 16 17 18 20 21 22 29 33 39 41 44 45 46],72.5
[ 1 10 14 16 18 19 20 21 22 29 33 39 41 44 45 46],74.0
[ 1 10 14 16 18 20 21 22 23 29 33 39 41 44 45 46],73.5
[ 1 10 14 16 18 20 21 22 24 29 33 39 41 44 45 46],73.1
[ 1 10 14 16 18 20 21 22 25 29 33 39 41 44 45 46],72.7
[ 1 10 14 16 18 20 21 22 26 29 33 39 41 44 45 46],71.8
[ 1 10 14 16 18 20 21 22 27 29 33 39 41 44 45 46],72.2
[ 1 10 14 16 18 20 21 22 28 29 33 39 41 44 45 46],71.1
[ 1 10 14 16 18 20 21 22 29 30 33 39 41 44 45 46],73.0
[ 1 10 14 16 18 20 21 22 29 31 33 39 41 44 45 46],73.3
[ 1 10 14 16 18 20 21 22 29 32 33 39 41 44 45 46],72.3
[ 1 10 14 16 18 20 21 22 29 33 34 39 41 44 45 46],73.9
[ 1 10 14 16 18 20 21 22 29 33 35 39 41 44 45 46],71.7
[ 1 10 14 16 18 20 21 22 29 33 36 39 41 44 45 46],71.3
[ 1 10 14 16 18 20 21 22 29 33 37 39 41 44 45 46],72.4
[ 1 10 14 16 18 20 21 22 29 33 38 39 41 44 45 46],72.1
[ 1 10 14 16 18 20 21 22 29 33 39 40 41 44 45 46],72.6
[ 1 10 14 16 18 20 21 22 29 33 39 41 42 44 45 46],73.9
[ 1 10 14 16 18 20 21 22 29 33 39 41 43 44 45 46],73.8
[ 1 10 14 16 18 20 21 22 29 33 39 41 44 45 46 47],73.7
[ 1 10 14 16 18 20 21 22 29 33 39 41 44 45 46 48],72.2
[ 1 10 14 16 18 20 21 22 29 33 39 41 44 45 46 49],74.0
[ 1 10 14 16 18 20 21 22 29 33 39 41 44 45 46 50],75.1
[ 1  2 10 14 16 18 20 21 22 29 33 39 41 44 45 46 50],72.8
[ 1  3 10 14 16 18 20 21 22 29 33 39 41 44 45 46 50],71.3
[ 1  4 10 14 16 18 20 21 22 29 33 39 41 44 45 46 50],71.4
[ 1  5 10 14 16 18 20 21 22 29 33 39 41 44 45 46 50],71.8
[ 1  6 10 14 16 18 20 21 22 29 33 39 41 44 45 46 50],72.5
[ 1  7 10 14 16 18 20 21 22 29 33 39 41 44 45 46 50],71.3
[ 1  8 10 14 16 18 20 21 22 29 33 39 41 44 45 46 50],73.7
[ 1  9 10 14 16 18 20 21 22 29 33 39 41 44 45 46 50],72.3
[ 1 10 11 14 16 18 20 21 22 29 33 39 41 44 45 46 50],71.9
[ 1 10 12 14 16 18 20 21 22 29 33 39 41 44 45 46 50],71.0
[ 1 10 13 14 16 18 20 21 22 29 33 39 41 44 45 46 50],72.3
[ 1 10 14 15 16 18 20 21 22 29 33 39 41 44 45 46 50],73.4
[ 1 10 14 16 17 18 20 21 22 29 33 39 41 44 45 46 50],71.2
[ 1 10 14 16 18 19 20 21 22 29 33 39 41 44 45 46 50],74.0
[ 1 10 14 16 18 20 21 22 23 29 33 39 41 44 45 46 50],74.9
[ 1 10 14 16 18 20 21 22 24 29 33 39 41 44 45 46 50],71.9
[ 1 10 14 16 18 20 21 22 25 29 33 39 41 44 45 46 50],73.3
[ 1 10 14 16 18 20 21 22 26 29 33 39 41 44 45 46 50],72.3
[ 1 10 14 16 18 20 21 22 27 29 33 39 41 44 45 46 50],73.2
[ 1 10 14 16 18 20 21 22 28 29 33 39 41 44 45 46 50],70.1
[ 1 10 14 16 18 20 21 22 29 30 33 39 41 44 45 46 50],72.3
[ 1 10 14 16 18 20 21 22 29 31 33 39 41 44 45 46 50],72.9
[ 1 10 14 16 18 20 21 22 29 32 33 39 41 44 45 46 50],70.3
[ 1 10 14 16 18 20 21 22 29 33 34 39 41 44 45 46 50],72.9
[ 1 10 14 16 18 20 21 22 29 33 35 39 41 44 45 46 50],72.2
[ 1 10 14 16 18 20 21 22 29 33 36 39 41 44 45 46 50],72.7
[ 1 10 14 16 18 20 21 22 29 33 37 39 41 44 45 46 50],72.1
[ 1 10 14 16 18 20 21 22 29 33 38 39 41 44 45 46 50],71.9
[ 1 10 14 16 18 20 21 22 29 33 39 40 41 44 45 46 50],72.3
[ 1 10 14 16 18 20 21 22 29 33 39 41 42 44 45 46 50],72.7
[ 1 10 14 16 18 20 21 22 29 33 39 41 43 44 45 46 50],73.5
[ 1 10 14 16 18 20 21 22 29 33 39 41 44 45 46 47 50],73.0
[ 1 10 14 16 18 20 21 22 29 33 39 41 44 45 46 48 50],72.9
[ 1 10 14 16 18 20 21 22 29 33 39 41 44 45 46 49 50],72.1
[ 1  2 10 14 16 18 20 21 22 23 29 33 39 41 44 45 46 50],72.8
[ 1  3 10 14 16 18 20 21 22 23 29 33 39 41 44 45 46 50],72.6
[ 1  4 10 14 16 18 20 21 22 23 29 33 39 41 44 45 46 50],71.5
[ 1  5 10 14 16 18 20 21 22 23 29 33 39 41 44 45 46 50],70.3
[ 1  6 10 14 16 18 20 21 22 23 29 33 39 41 44 45 46 50],72.9
[ 1  7 10 14 16 18 20 21 22 23 29 33 39 41 44 45 46 50],72.2
[ 1  8 10 14 16 18 20 21 22 23 29 33 39 41 44 45 46 50],71.8
[ 1  9 10 14 16 18 20 21 22 23 29 33 39 41 44 45 46 50],71.9
[ 1 10 11 14 16 18 20 21 22 23 29 33 39 41 44 45 46 50],71.7
[ 1 10 12 14 16 18 20 21 22 23 29 33 39 41 44 45 46 50],70.9
[ 1 10 13 14 16 18 20 21 22 23 29 33 39 41 44 45 46 50],73.0
[ 1 10 14 15 16 18 20 21 22 23 29 33 39 41 44 45 46 50],71.7
[ 1 10 14 16 17 18 20 21 22 23 29 33 39 41 44 45 46 50],71.4
[ 1 10 14 16 18 19 20 21 22 23 29 33 39 41 44 45 46 50],72.1
[ 1 10 14 16 18 20 21 22 23 24 29 33 39 41 44 45 46 50],71.8
[ 1 10 14 16 18 20 21 22 23 25 29 33 39 41 44 45 46 50],71.7
[ 1 10 14 16 18 20 21 22 23 26 29 33 39 41 44 45 46 50],71.2
[ 1 10 14 16 18 20 21 22 23 27 29 33 39 41 44 45 46 50],73.4
[ 1 10 14 16 18 20 21 22 23 28 29 33 39 41 44 45 46 50],70.8
[ 1 10 14 16 18 20 21 22 23 29 30 33 39 41 44 45 46 50],70.4
[ 1 10 14 16 18 20 21 22 23 29 31 33 39 41 44 45 46 50],72.5
[ 1 10 14 16 18 20 21 22 23 29 32 33 39 41 44 45 46 50],69.9
[ 1 10 14 16 18 20 21 22 23 29 33 34 39 41 44 45 46 50],72.0
[ 1 10 14 16 18 20 21 22 23 29 33 35 39 41 44 45 46 50],70.7
[ 1 10 14 16 18 20 21 22 23 29 33 36 39 41 44 45 46 50],71.0
[ 1 10 14 16 18 20 21 22 23 29 33 37 39 41 44 45 46 50],71.7
[ 1 10 14 16 18 20 21 22 23 29 33 38 39 41 44 45 46 50],71.8
[ 1 10 14 16 18 20 21 22 23 29 33 39 40 41 44 45 46 50],71.1
[ 1 10 14 16 18 20 21 22 23 29 33 39 41 42 44 45 46 50],72.0
[ 1 10 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],74.2
[ 1 10 14 16 18 20 21 22 23 29 33 39 41 44 45 46 47 50],72.4
[ 1 10 14 16 18 20 21 22 23 29 33 39 41 44 45 46 48 50],73.4
[ 1 10 14 16 18 20 21 22 23 29 33 39 41 44 45 46 49 50],73.5
[ 1  2 10 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],70.5
[ 1  3 10 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],72.7
[ 1  4 10 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],70.8
[ 1  5 10 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],70.7
[ 1  6 10 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],72.5
[ 1  7 10 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],71.0
[ 1  8 10 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],70.8
[ 1  9 10 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],72.9
[ 1 10 11 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],71.7
[ 1 10 12 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],71.8
[ 1 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],73.7
[ 1 10 14 15 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],71.5
[ 1 10 14 16 17 18 20 21 22 23 29 33 39 41 43 44 45 46 50],71.8
[ 1 10 14 16 18 19 20 21 22 23 29 33 39 41 43 44 45 46 50],72.3
[ 1 10 14 16 18 20 21 22 23 24 29 33 39 41 43 44 45 46 50],71.1
[ 1 10 14 16 18 20 21 22 23 25 29 33 39 41 43 44 45 46 50],72.2
[ 1 10 14 16 18 20 21 22 23 26 29 33 39 41 43 44 45 46 50],70.8
[ 1 10 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 50],71.6
[ 1 10 14 16 18 20 21 22 23 28 29 33 39 41 43 44 45 46 50],72.7
[ 1 10 14 16 18 20 21 22 23 29 30 33 39 41 43 44 45 46 50],71.7
[ 1 10 14 16 18 20 21 22 23 29 31 33 39 41 43 44 45 46 50],73.1
[ 1 10 14 16 18 20 21 22 23 29 32 33 39 41 43 44 45 46 50],71.9
[ 1 10 14 16 18 20 21 22 23 29 33 34 39 41 43 44 45 46 50],70.7
[ 1 10 14 16 18 20 21 22 23 29 33 35 39 41 43 44 45 46 50],70.9
[ 1 10 14 16 18 20 21 22 23 29 33 36 39 41 43 44 45 46 50],72.4
[ 1 10 14 16 18 20 21 22 23 29 33 37 39 41 43 44 45 46 50],70.0
[ 1 10 14 16 18 20 21 22 23 29 33 38 39 41 43 44 45 46 50],71.8
[ 1 10 14 16 18 20 21 22 23 29 33 39 40 41 43 44 45 46 50],70.9
[ 1 10 14 16 18 20 21 22 23 29 33 39 41 42 43 44 45 46 50],71.7
[ 1 10 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 47 50],73.3
[ 1 10 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],73.0
[ 1 10 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 49 50],72.4
[ 1  2 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],72.0
[ 1  3 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],71.1
[ 1  4 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],73.0
[ 1  5 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],70.2
[ 1  6 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],72.0
[ 1  7 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],72.2
[ 1  8 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],72.0
[ 1  9 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],72.3
[ 1 10 11 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],71.7
[ 1 10 12 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],72.6
[ 1 10 13 14 15 16 18 20 21 22 23 29 33 39 41 43 44 45 46 50],71.4
[ 1 10 13 14 16 17 18 20 21 22 23 29 33 39 41 43 44 45 46 50],72.8
[ 1 10 13 14 16 18 19 20 21 22 23 29 33 39 41 43 44 45 46 50],72.2
[ 1 10 13 14 16 18 20 21 22 23 24 29 33 39 41 43 44 45 46 50],71.7
[ 1 10 13 14 16 18 20 21 22 23 25 29 33 39 41 43 44 45 46 50],72.8
[ 1 10 13 14 16 18 20 21 22 23 26 29 33 39 41 43 44 45 46 50],70.3
[ 1 10 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 50],72.3
[ 1 10 13 14 16 18 20 21 22 23 28 29 33 39 41 43 44 45 46 50],70.0
[ 1 10 13 14 16 18 20 21 22 23 29 30 33 39 41 43 44 45 46 50],72.5
[ 1 10 13 14 16 18 20 21 22 23 29 31 33 39 41 43 44 45 46 50],72.7
[ 1 10 13 14 16 18 20 21 22 23 29 32 33 39 41 43 44 45 46 50],71.7
[ 1 10 13 14 16 18 20 21 22 23 29 33 34 39 41 43 44 45 46 50],71.4
[ 1 10 13 14 16 18 20 21 22 23 29 33 35 39 41 43 44 45 46 50],68.8
[ 1 10 13 14 16 18 20 21 22 23 29 33 36 39 41 43 44 45 46 50],72.0
[ 1 10 13 14 16 18 20 21 22 23 29 33 37 39 41 43 44 45 46 50],70.3
[ 1 10 13 14 16 18 20 21 22 23 29 33 38 39 41 43 44 45 46 50],71.3
[ 1 10 13 14 16 18 20 21 22 23 29 33 39 40 41 43 44 45 46 50],71.6
[ 1 10 13 14 16 18 20 21 22 23 29 33 39 41 42 43 44 45 46 50],71.1
[ 1 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 47 50],71.1
[ 1 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],73.3
[ 1 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 49 50],72.6
[ 1  2 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],71.6
[ 1  3 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],69.9
[ 1  4 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],70.8
[ 1  5 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],69.3
[ 1  6 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],71.6
[ 1  7 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],70.0
[ 1  8 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],71.5
[ 1  9 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],71.6
[ 1 10 11 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],70.8
[ 1 10 12 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],71.7
[ 1 10 13 14 15 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],70.3
[ 1 10 13 14 16 17 18 20 21 22 23 29 33 39 41 43 44 45 46 48 50],70.5
[ 1 10 13 14 16 18 19 20 21 22 23 29 33 39 41 43 44 45 46 48 50],70.5
[ 1 10 13 14 16 18 20 21 22 23 24 29 33 39 41 43 44 45 46 48 50],71.8
[ 1 10 13 14 16 18 20 21 22 23 25 29 33 39 41 43 44 45 46 48 50],71.8
[ 1 10 13 14 16 18 20 21 22 23 26 29 33 39 41 43 44 45 46 48 50],69.3
[ 1 10 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],72.2
[ 1 10 13 14 16 18 20 21 22 23 28 29 33 39 41 43 44 45 46 48 50],70.5
[ 1 10 13 14 16 18 20 21 22 23 29 30 33 39 41 43 44 45 46 48 50],71.2
[ 1 10 13 14 16 18 20 21 22 23 29 31 33 39 41 43 44 45 46 48 50],70.8
[ 1 10 13 14 16 18 20 21 22 23 29 32 33 39 41 43 44 45 46 48 50],70.9
[ 1 10 13 14 16 18 20 21 22 23 29 33 34 39 41 43 44 45 46 48 50],70.8
[ 1 10 13 14 16 18 20 21 22 23 29 33 35 39 41 43 44 45 46 48 50],71.0
[ 1 10 13 14 16 18 20 21 22 23 29 33 36 39 41 43 44 45 46 48 50],70.3
[ 1 10 13 14 16 18 20 21 22 23 29 33 37 39 41 43 44 45 46 48 50],69.7
[ 1 10 13 14 16 18 20 21 22 23 29 33 38 39 41 43 44 45 46 48 50],71.4
[ 1 10 13 14 16 18 20 21 22 23 29 33 39 40 41 43 44 45 46 48 50],70.6
[ 1 10 13 14 16 18 20 21 22 23 29 33 39 41 42 43 44 45 46 48 50],69.8
[ 1 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 47 48 50],70.1
[ 1 10 13 14 16 18 20 21 22 23 29 33 39 41 43 44 45 46 48 49 50],71.2
[ 1  2 10 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],71.7
[ 1  3 10 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],69.2
[ 1  4 10 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.4
[ 1  5 10 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],68.7
[ 1  6 10 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.4
[ 1  7 10 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.7
[ 1  8 10 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],69.7
[ 1  9 10 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],71.0
[ 1 10 11 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.2
[ 1 10 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],72.0
[ 1 10 13 14 15 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],69.2
[ 1 10 13 14 16 17 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.9
[ 1 10 13 14 16 18 19 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.1
[ 1 10 13 14 16 18 20 21 22 23 24 27 29 33 39 41 43 44 45 46 48 50],69.2
[ 1 10 13 14 16 18 20 21 22 23 25 27 29 33 39 41 43 44 45 46 48 50],71.4
[ 1 10 13 14 16 18 20 21 22 23 26 27 29 33 39 41 43 44 45 46 48 50],68.2
[ 1 10 13 14 16 18 20 21 22 23 27 28 29 33 39 41 43 44 45 46 48 50],71.0
[ 1 10 13 14 16 18 20 21 22 23 27 29 30 33 39 41 43 44 45 46 48 50],71.2
[ 1 10 13 14 16 18 20 21 22 23 27 29 31 33 39 41 43 44 45 46 48 50],70.6
[ 1 10 13 14 16 18 20 21 22 23 27 29 32 33 39 41 43 44 45 46 48 50],70.7
[ 1 10 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48 50],70.3
[ 1 10 13 14 16 18 20 21 22 23 27 29 33 35 39 41 43 44 45 46 48 50],69.2
[ 1 10 13 14 16 18 20 21 22 23 27 29 33 36 39 41 43 44 45 46 48 50],68.0
[ 1 10 13 14 16 18 20 21 22 23 27 29 33 37 39 41 43 44 45 46 48 50],69.8
[ 1 10 13 14 16 18 20 21 22 23 27 29 33 38 39 41 43 44 45 46 48 50],71.5
[ 1 10 13 14 16 18 20 21 22 23 27 29 33 39 40 41 43 44 45 46 48 50],69.3
[ 1 10 13 14 16 18 20 21 22 23 27 29 33 39 41 42 43 44 45 46 48 50],67.8
[ 1 10 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 47 48 50],69.7
[ 1 10 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 49 50],70.5
[ 1  2 10 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.0
[ 1  3 10 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],68.7
[ 1  4 10 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.7
[ 1  5 10 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],69.0
[ 1  6 10 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],69.9
[ 1  7 10 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],69.5
[ 1  8 10 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.0
[ 1  9 10 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.5
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],71.6
[ 1 10 12 13 14 15 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.1
[ 1 10 12 13 14 16 17 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.0
[ 1 10 12 13 14 16 18 19 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.5
[ 1 10 12 13 14 16 18 20 21 22 23 24 27 29 33 39 41 43 44 45 46 48 50],69.1
[ 1 10 12 13 14 16 18 20 21 22 23 25 27 29 33 39 41 43 44 45 46 48 50],70.9
[ 1 10 12 13 14 16 18 20 21 22 23 26 27 29 33 39 41 43 44 45 46 48 50],67.6
[ 1 10 12 13 14 16 18 20 21 22 23 27 28 29 33 39 41 43 44 45 46 48 50],70.4
[ 1 10 12 13 14 16 18 20 21 22 23 27 29 30 33 39 41 43 44 45 46 48 50],69.8
[ 1 10 12 13 14 16 18 20 21 22 23 27 29 31 33 39 41 43 44 45 46 48 50],70.9
[ 1 10 12 13 14 16 18 20 21 22 23 27 29 32 33 39 41 43 44 45 46 48 50],70.7
[ 1 10 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48 50],69.6
[ 1 10 12 13 14 16 18 20 21 22 23 27 29 33 35 39 41 43 44 45 46 48 50],67.3
[ 1 10 12 13 14 16 18 20 21 22 23 27 29 33 36 39 41 43 44 45 46 48 50],69.8
[ 1 10 12 13 14 16 18 20 21 22 23 27 29 33 37 39 41 43 44 45 46 48 50],69.9
[ 1 10 12 13 14 16 18 20 21 22 23 27 29 33 38 39 41 43 44 45 46 48 50],70.4
[ 1 10 12 13 14 16 18 20 21 22 23 27 29 33 39 40 41 43 44 45 46 48 50],67.7
[ 1 10 12 13 14 16 18 20 21 22 23 27 29 33 39 41 42 43 44 45 46 48 50],67.6
[ 1 10 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 47 48 50],68.9
[ 1 10 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 49 50],69.0
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.4
[ 1  3 10 11 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],68.4
[ 1  4 10 11 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],69.7
[ 1  5 10 11 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],68.2
[ 1  6 10 11 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],69.2
[ 1  7 10 11 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.0
[ 1  8 10 11 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],69.1
[ 1  9 10 11 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],70.2
[ 1 10 11 12 13 14 15 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],69.5
[ 1 10 11 12 13 14 16 17 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],69.6
[ 1 10 11 12 13 14 16 18 19 20 21 22 23 27 29 33 39 41 43 44 45 46 48 50],69.2
[ 1 10 11 12 13 14 16 18 20 21 22 23 24 27 29 33 39 41 43 44 45 46 48 50],68.9
[ 1 10 11 12 13 14 16 18 20 21 22 23 25 27 29 33 39 41 43 44 45 46 48 50],70.2
[ 1 10 11 12 13 14 16 18 20 21 22 23 26 27 29 33 39 41 43 44 45 46 48 50],67.7
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 39 41 43 44 45 46 48 50],68.1
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 30 33 39 41 43 44 45 46 48 50],69.4
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 31 33 39 41 43 44 45 46 48 50],68.7
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 32 33 39 41 43 44 45 46 48 50],69.6
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48 50],70.5
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 35 39 41 43 44 45 46 48 50],69.7
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 36 39 41 43 44 45 46 48 50],70.3
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 37 39 41 43 44 45 46 48 50],67.7
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 38 39 41 43 44 45 46 48 50],70.3
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 39 40 41 43 44 45 46 48 50],68.6
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 39 41 42 43 44 45 46 48 50],69.7
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 47 48 50],69.3
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 39 41 43 44 45 46 48 49 50],68.4
[ 1  2 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48
 50],70.2
[ 1  3 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48
 50],67.9
[ 1  4 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48
 50],68.3
[ 1  5 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48
 50],68.2
[ 1  6 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48
 50],67.8
[ 1  7 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48
 50],68.6
[ 1  8 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48
 50],69.1
[ 1  9 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48
 50],69.9
[ 1 10 11 12 13 14 15 16 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48
 50],69.2
[ 1 10 11 12 13 14 16 17 18 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48
 50],69.5
[ 1 10 11 12 13 14 16 18 19 20 21 22 23 27 29 33 34 39 41 43 44 45 46 48
 50],68.4
[ 1 10 11 12 13 14 16 18 20 21 22 23 24 27 29 33 34 39 41 43 44 45 46 48
 50],68.4
[ 1 10 11 12 13 14 16 18 20 21 22 23 25 27 29 33 34 39 41 43 44 45 46 48
 50],69.5
[ 1 10 11 12 13 14 16 18 20 21 22 23 26 27 29 33 34 39 41 43 44 45 46 48
 50],67.6
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 28 29 33 34 39 41 43 44 45 46 48
 50],69.4
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 30 33 34 39 41 43 44 45 46 48
 50],68.9
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 31 33 34 39 41 43 44 45 46 48
 50],67.7
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 32 33 34 39 41 43 44 45 46 48
 50],69.2
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 35 39 41 43 44 45 46 48
 50],68.3
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 36 39 41 43 44 45 46 48
 50],67.3
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 37 39 41 43 44 45 46 48
 50],67.9
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 38 39 41 43 44 45 46 48
 50],68.8
[ 1 10 11 12 13 14 16 18 20 21 22 23 27 29 33 34 39 40 41 43 44 45 46 48
 50],67.9
